tweet_id,Tweet,Stock Name,Trading Date,final_label
9074,"12 Years ago today, Tesla was worth $2B. That’s Cracker Barrel’s size today Recently, $TSLA touched $1 Trillion → A 50,000% return! These 3 UNFAIR ADVANTAGES over rivals that helped along the way: :backhand_index_pointing_down:",TSLA,25/7/2022,Buy
4140,"Memerizing pictures from Giga Shangai. Expansions to phase 1 appear to be complete. Battery factory construction too, and building appears to be operational with semis docked. Colorful storage trailers/supplies. Full production on Monday with Model 3 line back up! $TSLA",TSLA,8/8/2022,Buy
5044,"As a Tesla shareholder, this is extremely exciting news. Thanks!",TSLA,26/7/2022,Buy
2771,$TSLA is down -2.19% because: - Tesla will be the biggest company ever - this week stock split - FSD 10.69 is MIND BLOWINGLY good - FSD price increase $15k,TSLA,22/8/2022,Buy
4631,$TSLA getting hammered into the close. Got some at $889.09.,TSLA,1/8/2022,Buy
5967,1/ The greatest wealth is created in Bear Markets This is your opportunity to buy companies at discounts Buy companies that are the best in their sector: Amazon $AMZN Apple $AAPL Home Depot $HD Chipotle $CMG McDonald’s $MCD Microsoft $MSFT Waste Management $WM,AAPL,26/9/2022,Buy
1222,"Back in the day, when I used to work at Apple and started investing in Tesla, I saw my brokerage account go from ~$900,000 to ~$150,000. Many would have thrown the white towel and gave up mentally. I never gave up. $TSLA",TSLA,12/9/2022,Buy
8747,Tesla isn’t making old styled pick-up Trucks — it’s making CyberTrucks. $TSLA #Tesla :high_voltage::high_voltage::high_voltage:,TSLA,10/8/2022,Buy
3933,$TSLA +1.3% to $883 pre-mkt after July China sales came in as expected (28.2K) with the Shanghai factory closed two weeks for upgrades. Equities mixed (SPX +0.2% NDX +0.1%) in front of tomorrow’s July CPI which will cool vs June (MoM +0.2%E MoM core +0.5%E). 10yrTY 2.781% +2.4bp.,TSLA,9/8/2022,Buy
8087,Congrats employees! Nice work:partying_face:,TSLA,19/9/2022,Buy
782,"People who missed $tsla the first time around, do not let your pride and ego prevent you from missing on an investment of a lifetime again. Find out what is happening. Properly research this company. As would say, reason by first principles not analogy. ✌️",TSLA,19/9/2022,Buy
2245,$TSLA Bot will be 10x simpler to build & ramp,TSLA,29/8/2022,Buy
1805,"Show me your dream car, this is mine:",TSLA,2/9/2022,Buy
1726,"The electric car of the future, available today... ...and it doesn't even leak in car washes! cc: $TSLA owners",TSLA,5/9/2022,Buy
3639,"Damn baby, when did you get so good? $TSLA",TSLA,11/8/2022,Buy
416,$TSLA Aggressive Calls Hitting The Tape,TSLA,23/9/2022,Buy
9201,$AAPL THE SIGNS WERE ALWAYS THERE :eyes:,AAPL,28/9/2022,Buy
735,$TSLA says it still plans to open battery plant in Germany,TSLA,19/9/2022,Buy
9335,:police_car_light: Credit Suisse upgraded Apple $AAPL to Outperform from Neutral with a $201 price target,AAPL,16/8/2022,Buy
4947,The tide seems to be shifting more in favor of $TSLA. 🌊,TSLA,28/7/2022,Buy
3526,GIGA SHANGHAI CONTINUES TO RAMP WITH VENGEANCE! 🇨🇳⚡️ $TSLA,TSLA,12/8/2022,Buy
1373,$TSLA is going for it. 🚀,TSLA,9/9/2022,Buy
6001,Golden Rule. In a stock market correction $AAPL will always be the last stock to go down. Always the first stock to go higher again after the correction.,AAPL,20/9/2022,Buy
1631,"NEWS: has received another big, €50 million order from German car subscription provider Fleetpool. The company will purchase Model 3 and Model Y from Tesla, and offer the vehicles to both corporate and private customers.",TSLA,6/9/2022,Buy
29,$tsla just retested the $798 pre-split level. Screaming buy now.,TSLA,29/9/2022,Buy
5562,BREAKING: Elon Musk says is open to increase their position on Bitcoin adding that they still hold Dogecoin.,TSLA,20/7/2022,Buy
8349,"Tesla closes from being down -3.4% to closing +0.56%! :chart_decreasing::chart_increasing: Way to fight back $TSLA longs! :chart_increasing: Way to fuck up $TSLAQ shorts! :chart_decreasing: The future is bright, so don’t give up! :oncoming_fist:",TSLA,1/9/2022,Buy
4372,BREAKING: $TSLA 3:1 stock split is approved,TSLA,4/8/2022,Buy
4765,"🧵 1/7 Why would ARK sell $TSLA to buy $ROKU? My first reaction was disbelief. We are finally back on track for at least two, if not more, good $TSLA quarters. ATH are in sight. I shared that I am considering going back into margin, a big step for a chicken like me. Then ...",TSLA,1/8/2022,Buy
8492,"Bought me another home in cash, I would like to thank $CCL $TSLA $LCID $NFLX. Plus my boys and on some stock tips. Next buy possibly another aircraft? Yep :rolling_on_the_floor_laughing::rolling_on_the_floor_laughing::rolling_on_the_floor_laughing::rolling_on_the_floor_laughing::rolling_on_the_floor_laughing::rolling_on_the_floor_laughing:",TSLA,23/8/2022,Buy
2165,"Honda recently put up its worst three-month sales in the US ever:🔻51% YoY I believe this is because Honda is leaving the US, as it does not have a competitive EV or the ZEV credits to satisfy regulatory requirements in the coming years $TSLA #TeslaKillerCemetery 💀",TSLA,29/8/2022,Buy
6409,$AAPL completed 6 straight winning weeks and 11 points from ATH.,AAPL,12/8/2022,Buy
3263,"$tsla closed Monday above the 200MA and if confirmed tomorrow, this would be a strong bullish sign",TSLA,15/8/2022,Buy
3481,How to enter trades by Price Action confirmation! $SPY $QQQ $TSLA $AAPL,TSLA,12/8/2022,Buy
96,Predictions: $TSLA would report a record breaking quarter 355-365k for Q3 and break the resistance at $313. Some who sold all his shares will come out to apologies to the community again. 😉,TSLA,29/9/2022,Buy
6422,The rest is history.... $AAPL $MSFT,AAPL,12/8/2022,Buy
1155,"Bought another 2,000 of $TSLA at $292.22.",TSLA,13/9/2022,Buy
3375,Tesla will top this list by EOY 2026 $TSLA,TSLA,15/8/2022,Buy
3912,This is how long term Tesla investors sleep at night bc we know what the true value of Tesla will be in the future. $TSLA,TSLA,9/8/2022,Buy
5570,Elon Musk has said on $TSLA earnings call: We have the potential for a record breaking second half of the year.,TSLA,20/7/2022,Buy
9034,"$AMZN is priced at $1.2T while it’s set to lose money for as far as the eye can see in a bubble-popping, high interest-rate environment :warning::police_car_light: $AMZN investors are at extreme risk :bomb::collision: SELL EVERYTHING, BUY $TSLA :rocket::full_moon:",TSLA,26/7/2022,Buy
2620,These $TSLA milestones are happening like it or not!! 🚀🚀🚀,TSLA,23/8/2022,Buy
6120,Elon Musk says there have been some promising conversations with $AAPL about Starlink connectivity,AAPL,8/9/2022,Buy
8925,$TSLA for the win :bullseye::money_bag::money_bag:,TSLA,1/8/2022,Buy
483,"Every day that you hold $TSLA, the intrinsic value of your shares increases by 5 to 10 basis points. Reality catches up eventually.",TSLA,22/9/2022,Buy
1446,$TSLA Q4’22 Operating Margin > 40%,TSLA,8/9/2022,Buy
1569,"$TSLA The world is transitioning to sustainable energy at an incredible and accelerating rate, thanks to",TSLA,7/9/2022,Buy
2864,Ready for $TSLA Beta FSD 10.69,TSLA,22/8/2022,Buy
532,The moon 🌚 has 17% of earth’s 🌏 gravity. The Cybertruck will be great on the lunar surface! 🎥:,TSLA,22/9/2022,Buy
88,Tesla Full Self-Driving Beta is trained on data from over 50 countries $TSLA,TSLA,29/9/2022,Buy
5014,"Some will use my own chart against me, arguing since 4/14 (when Elon offered to buy $TWTR) $TSLA -21% vs NDX -13% and TSLA beta 1.6x. But that ignores TSLA’s two blowout earnings reports (1Q 4/20, 2Q 7/20) during that span. Since 4/14, TSLA 2023 EPS ests +22% vs NDX largely flat.",TSLA,26/7/2022,Buy
6092,$AAPL #AAPL There it is. Gap fully filled & target hit. A great case study using lower indicators w/ VWAP/volume shelves over the last few trading days.,AAPL,12/9/2022,Buy
3298,So many many upcoming $TSLA catalysts! Price target: $1400 by end of year 🚀🚀🚀,TSLA,15/8/2022,Buy
4797,"oh poor , are you still shorting $TSLA? 🤣🤣",TSLA,29/7/2022,Buy
3519,We all watching $TSLA to hit $900 in the next minutes...,TSLA,12/8/2022,Buy
2225,"You did it Mary, you misled and it matters. $TSLA",TSLA,29/8/2022,Buy
5350,I’m riding Tesla to the muthafuckin moon. 🚀🌙 $TSLA,TSLA,21/7/2022,Buy
5584,The $TSLA revenue growth story continues 👀 ... despite limited production and shutdowns in Shanghai for the majority of the quarter.,TSLA,20/7/2022,Buy
9367,$AAPL $1.3B+ Dark Pool Prints :flushed_face: *This is VERY RARE*,AAPL,8/8/2022,Buy
9356,5 stocks I'm holding for the next 10 years: $AAPL :red_apple: $MSFT :cloud: $V :credit_card: $HD :hammer: $UNH :lab_coat: What will you be holding? :backhand_index_pointing_down:,AAPL,10/8/2022,Buy
8188,Begin the $TSLA to ATH alert :police_car_light:,TSLA,12/9/2022,Buy
4254,Bought the $900 for day trade. $TSLA,TSLA,5/8/2022,Buy
2337,"Here's another Virtual Power Plant program I hadn't heard of before today. $TSLA indicates homeowners (in MA, CT and RI) can expect to earn $200-$1,000 per year by enrolling. Great to see that Tesla Energy is ramping up.",TSLA,26/8/2022,Buy
108,New coverage on Tesla w/ a BUY rating price target of $333.33. $TSLA,TSLA,28/9/2022,Buy
8077,"In a tough macro, $tsla has proven to be the most resilient of the mega caps. But you would not know this if you listened to the mainstream media. :victory_hand:",TSLA,19/9/2022,Buy
3032,1 week until $TSLA 3-for-1 stock-split,TSLA,18/8/2022,Buy
3110,"Tesla is increasing its fleet of delivery trucks by ~50% at its Fremont factory, Global Equities Research noted. The firm reaffirmed its “Buy” rating on $TSLA shares with a $2,300 price target #Tesla",TSLA,17/8/2022,Buy
251,"1,426 gigawatt-hours of solar energy in California and 1,876 gigawatt-hours of solar in Texas were wasted in 2021 due to curtailment in response to low power demand. There is a 3TWh+ opportunity for battery storage there $TSLA",TSLA,27/9/2022,Buy
9137,100k users. 35 million miles. Zero fatalities. $TSLA FSD IS READY FOR ROBOTAXI :robot::oncoming_taxi:,TSLA,21/7/2022,Buy
4513,"""We'll have to be higher for longer""- Bullard In response to any indication of a pivot. Fed saying there will NOT be a pivot. Markets have priced in a pivot this past week. This rally may or may not hold if we keep getting signals the Fed is not going to ease anytime soon. $TSLA",TSLA,3/8/2022,Hold
